logiProb,poisProb,Obs,model
0.687029877,0.620067498,0,M6
0.546633273,0.55529304,1,M6
0.546057218,0.554944306,1,M6
0.546416674,0.556165752,1,M6
0.687658962,0.619818821,1,M6
0.686954483,0.61963524,1,M6
0.632388237,0.639985038,0,M6
0.557209653,0.516847977,1,M6
0.602614379,0.535230305,1,M6
0.671926018,0.651153482,1,M6
0.633032134,0.64227089,1,M6
0.558610925,0.518891344,1,M6
0.632972425,0.643795498,0,M6
0.559334148,0.520458799,1,M6
0.602935841,0.533484379,1,M6
0.670503071,0.649019056,1,M6
0.602105538,0.531879202,0,M6
0.668945657,0.645889158,0,M6
0.649264442,0.652065641,0,M6
0.799987671,0.760935009,1,M6
0.766503985,0.751718245,1,M6
0.438755289,0.436548124,0,M6
0.586382157,0.54638381,0,M6
0.393146204,0.421554467,1,M6
0.649770866,0.653255912,1,M6
0.766378743,0.752446487,0,M6
0.739312428,0.695747594,1,M6
0.800942926,0.76061454,1,M6
0.439275767,0.437848175,1,M6
0.586193969,0.545835578,1,M6
0.478575492,0.468357008,0,M6
0.391317352,0.42014958,1,M6
0.587381043,0.547557199,1,M6
0.440384534,0.439147726,1,M6
0.390502448,0.418789082,0,M6
0.479474007,0.468830439,0,M6
0.738320281,0.694608404,1,M6
0.803064019,0.763390747,0,M6
0.764383474,0.749283965,1,M6
0.650645727,0.654153215,0,M6
0.73851305,0.694551186,0,M6
0.802908683,0.763260917,1,M6
0.650802636,0.654300076,1,M6
0.763285271,0.747020247,1,M6
0.824668785,0.772068461,1,M6
0.583574581,0.598918497,0,M6
0.414602097,0.436853721,0,M6
0.465963483,0.509137099,0,M6
0.357348747,0.408693823,0,M6
0.598643419,0.614999547,0,M6
0.645091822,0.610389446,1,M6
0.852689329,0.799340798,1,M6
0.635590478,0.552973892,1,M6
0.746728848,0.664118182,1,M6
0.787250506,0.731715023,1,M6
0.823594625,0.770542807,1,M6
0.458084096,0.538970902,0,M6
0.310961388,0.373211606,0,M6
0.541125432,0.545350429,1,M6
0.581881018,0.595420503,1,M6
0.412962224,0.435091596,1,M6
0.359206065,0.411348737,1,M6
0.466092702,0.511284472,1,M6
0.457523918,0.537990835,0,M6
0.310307603,0.372367657,1,M6
0.686115105,0.634839689,0,M6
