,NAME_HOME,PTS_home,PTS_home_cur_season,NAME_AWAY,PTS_away,PTS_away_cur_season
0,Heat,104.0,109.60810810810811,Timberwolves,113.0,114.625
10,Heat,117.0,109.5068493150685,Cavaliers,105.0,106.51428571428572
21,Heat,90.0,109.77777777777777,Suns,111.0,113.85507246376811
39,Heat,123.0,109.59154929577464,Rockets,106.0,108.42647058823529
55,Heat,99.0,109.74285714285715,76ers,82.0,109.04545454545455
70,Nets,107.0,110.83582089552239,Heat,113.0,109.69565217391305
79,Bucks,120.0,113.25373134328358,Heat,119.0,109.55882352941177
92,Heat,112.0,109.5223880597015,Bulls,99.0,112.9076923076923
107,Heat,133.0,109.16666666666667,Spurs,129.0,110.61538461538461
115,Knicks,100.0,105.76190476190476,Heat,115.0,109.07692307692308
127,Hornets,107.0,112.61904761904762,Heat,111.0,109.046875
144,Heat,99.0,109.2063492063492,Mavericks,107.0,107.11475409836065
167,Heat,115.0,109.11290322580645,Nets,111.0,111.10169491525424
181,Pelicans,97.0,105.43103448275862,Heat,112.0,109.06557377049181
203,Wizards,100.0,107.08928571428571,Heat,121.0,108.86666666666666
216,Hornets,86.0,112.63157894736842,Heat,104.0,108.94915254237289
230,Spurs,95.0,109.33333333333333,Heat,112.0,108.89655172413794
247,Raptors,110.0,108.01886792452831,Heat,106.0,108.94736842105263
255,Celtics,122.0,107.38181818181818,Heat,92.0,109.25
271,Heat,120.0,109.05454545454545,Raptors,124.0,107.74509803921569
278,Heat,121.0,108.83333333333333,Clippers,114.0,105.44444444444444
291,Heat,110.0,108.81132075471699,Knicks,96.0,104.86538461538461
312,Heat,113.0,108.73076923076923,Lakers,107.0,110.5
327,Hawks,110.0,110.5625,Heat,108.0,108.74509803921569
342,Heat,104.0,108.84,Trail Blazers,92.0,107.29787234042553
361,Heat,104.0,108.93877551020408,Raptors,99.0,107.86666666666666
373,Heat,98.0,109.16666666666667,76ers,109.0,107.91111111111111
384,Heat,124.0,108.85106382978724,Hawks,118.0,109.68181818181819
396,Hawks,91.0,110.11627906976744,Heat,115.0,108.71739130434783
430,Suns,100.0,112.78571428571429,Heat,123.0,108.4
453,Trail Blazers,109.0,107.375,Heat,115.0,108.25
467,Warriors,115.0,112.075,Heat,108.0,108.25581395348837
473,Kings,115.0,109.73170731707317,Heat,113.0,108.14285714285714
486,Rockets,110.0,106.82051282051282,Heat,120.0,107.85365853658537
505,Heat,119.0,107.575,Wizards,112.0,106.27027027027029
519,Heat,93.0,107.94871794871794,Magic,83.0,100.97297297297297
535,Heat,115.0,107.76315789473684,Pistons,112.0,100.61764705882354
548,Heat,125.0,107.29729729729729,Pacers,96.0,107.51428571428572
559,Pistons,100.0,100.9375,Heat,90.0,107.77777777777777
572,Magic,105.0,100.6969696969697,Heat,115.0,107.57142857142857
586,76ers,96.0,106.9375,Heat,101.0,107.76470588235294
598,Cavaliers,105.0,105.27272727272727,Heat,94.0,108.18181818181819
616,Heat,118.0,107.875,Bulls,92.0,110.1
636,Heat,113.0,107.70967741935483,Bucks,104.0,110.26666666666667
651,Heat,90.0,108.3,Grizzlies,105.0,110.37931034482759
664,Bucks,124.0,109.71428571428571,Heat,102.0,108.51724137931035
669,Pacers,104.0,106.92857142857143,Heat,113.0,108.35714285714286
687,Heat,85.0,109.22222222222223,Cavaliers,111.0,103.07692307692308
698,Heat,111.0,109.15384615384616,Nuggets,120.0,103.95833333333333
715,Bulls,104.0,109.79166666666667,Heat,107.0,109.24
738,Timberwolves,113.0,108.61904761904762,Heat,101.0,109.58333333333333
744,Pistons,92.0,100.6,Heat,100.0,110.0
765,Wizards,103.0,106.94736842105263,Heat,100.0,110.45454545454545
782,Heat,112.0,110.38095238095238,Wizards,97.0,107.5
791,Heat,113.0,110.25,Pelicans,98.0,101.52631578947368
809,Thunder,90.0,100.875,Heat,103.0,110.63157894736842
819,Jazz,105.0,104.9375,Heat,111.0,110.61111111111111
839,Clippers,112.0,106.78571428571429,Heat,109.0,110.70588235294117
852,Lakers,120.0,108.70588235294117,Heat,117.0,110.3125
860,Nuggets,113.0,103.42857142857143,Heat,96.0,111.26666666666667
873,Heat,118.0,110.78571428571429,Jazz,115.0,104.5
889,Heat,78.0,113.3076923076923,Celtics,95.0,108.5
904,Mavericks,110.0,106.4,Heat,125.0,112.33333333333333
928,Grizzlies,103.0,110.0909090909091,Heat,129.0,110.81818181818181
935,Heat,114.0,110.5,Hornets,99.0,108.77777777777777
948,Nets,93.0,108.75,Heat,106.0,111.0
965,Heat,107.0,111.5,Magic,90.0,98.42857142857143
977,Pacers,102.0,112.0,Heat,91.0,114.42857142857143
995,Heat,137.0,110.66666666666667,Bucks,95.0,112.0
1010,Heat,121.0,108.6,Celtics,100.0,104.33333333333333
1018,Hawks,127.0,95.33333333333333,Heat,92.0,112.75
1032,Heat,104.0,115.66666666666667,Hornets,103.0,105.5
1049,Spurs,105.0,52.5,Heat,109.0,119.0
1054,Rockets,106.0,125.0,Heat,113.0,125.0
1068,Heat,125.0,0.0,Hawks,99.0,0.0
