city,salary_old,salary,season,team
New York,102567539,146901363,2004,
Dallas,91908443,131634974,2004,
Portland,83671309,119837418,2004,
Philadelphia,71951878,103052375,2004,
Minnesota,70123411,100433573,2004,
Memphis,67010830,95975607,2004,
Orlando,66445249,95165560,2004,
Indiana,66064780,94620634,2004,
LA Lakers,65059098,93180259,2004,
Boston,64577356,92490288,2004,
Sacramento,61807688,88523458,2004,
Toronto,61703775,88374629,2004,
Houston,60284303,86341605,2004,
Miami,59523529,85251991,2004,
Milwaukee,57448246,82279688,2004,
Chicago,57276129,82033174,2004,
New Orleans,56572882,81025956,2004,
Brooklyn,54983980,78750269,2004,
Golden State,54943723,78692613,2004,
Detroit,54762481,78433028,2004,
Oklahoma City,53821301,77085033,2004,
Washington,49797050,71321338,2004,
Cleveland,49175274,70430806,2004,
San Antonio,47504123,68037315,2004,
Denver,46101759,66028793,2004,
LA Clippers,45483265,65142962,2004,
Phoenix,44598682,63876027,2004,
Utah,43515760,62325020,2004,
Atlanta,41059616,58807233,2004,
Charlotte,23922578,34262872,2004,
New York,126631098,176890289,2005,
Dallas,98454832,137531014,2005,
Philadelphia,84807300,118466850,2005,
Indiana,78791779,110063803,2005,
Orlando,75784782,105863345,2005,
LA Lakers,72917945,101858674,2005,
Houston,69257404,96745281,2005,
Memphis,67525538,94326051,2005,
Brooklyn,66449350,92822729,2005,
San Antonio,63570274,88800964,2005,
Milwaukee,63022514,88035801,2005,
Sacramento,62811975,87741701,2005,
Toronto,62411884,87182816,2005,
Minnesota,61830186,86370244,2005,
Miami,60732452,84836825,2005,
Portland,60017964,83838761,2005,
Detroit,59619275,83281835,2005,
Utah,57372902,80143889,2005,
Chicago,57166530,79855609,2005,
Golden State,57114566,79783022,2005,
Boston,56907300,79493492,2005,
Denver,56492172,78913603,2005,
Washington,54555947,76208899,2005,
Phoenix,53626924,74911152,2005,
LA Clippers,51358645,71742605,2005,
Cleveland,51303962,71666220,2005,
Oklahoma City,49253379,68801772,2005,
Atlanta,42944553,59989009,2005,
New Orleans,41277617,57660472,2005,
Charlotte,33458932,46738595,2005,
New York,117350866,157140261,2006,
Dallas,88531846,118549762,2006,
LA Lakers,77099949,103241726,2006,
Portland,75026386,100465090,2006,
Philadelphia,69140163,92583066,2006,
Minnesota,66820673,89477124,2006,
Phoenix,65841120,88165438,2006,
San Antonio,65654320,87915299,2006,
Denver,65517776,87732460,2006,
Golden State,65012368,87055687,2006,
Brooklyn,64486110,86350993,2006,
Miami,64416312,86257527,2006,
Sacramento,64296611,86097240,2006,
Houston,63837566,85482552,2006,
Milwaukee,63498518,85028545,2006,
Indiana,63118965,84520297,2006,
Cleveland,62992729,84351261,2006,
Boston,62981479,84336197,2006,
Washington,62733705,84004415,2006,
Utah,62364364,83509840,2006,
Memphis,61960489,82969026,2006,
Orlando,61447108,82281577,2006,
LA Clippers,59181038,79247163,2006,
Detroit,59010951,79019409,2006,
Oklahoma City,56986831,76308981,2006,
Chicago,54754904,73320291,2006,
New Orleans,53748991,71973308,2006,
Toronto,51015491,68312976,2006,
Atlanta,48581972,65054339,2006,
Charlotte,41964046,56192516,2006,
Dallas,101694879,132612549,2007,
New York,96190114,125434206,2007,
Denver,82958227,108179507,2007,
Cleveland,82217583,107213692,2007,
Miami,74767603,97498736,2007,
Boston,74509455,97162107,2007,
Philadelphia,74038229,96547614,2007,
Portland,73241335,95508446,2007,
LA Lakers,72626796,94707075,2007,
Phoenix,71323049,93006958,2007,
San Antonio,70048523,91344943,2007,
Houston,69894114,91143591,2007,
Minnesota,69043895,90034883,2007,
Indiana,66260246,86404940,2007,
Toronto,66042375,86120829,2007,
Detroit,65898875,85933704,2007,
Washington,65278996,85125366,2007,
Utah,64959089,84708201,2007,
LA Clippers,64847945,84563266,2007,
Sacramento,63403225,82679314,2007,
Chicago,63084166,82263255,2007,
New Orleans,62609991,81644920,2007,
Milwaukee,62571522,81594756,2007,
Golden State,62148303,81042866,2007,
Brooklyn,61836211,80635891,2007,
Oklahoma City,60861388,79364700,2007,
Orlando,58165973,75849815,2007,
Atlanta,55501133,72374799,2007,
Memphis,54118526,70571846,2007,
Charlotte,53745468,70085370,2007,
New York,96643646,119999499,2008,
Dallas,95045559,118015203,2008,
Cleveland,91298233,113362260,2008,
Portland,80260059,99656491,2008,
Boston,79188973,98326560,2008,
LA Lakers,78245793,97155439,2008,
Phoenix,76130408,94528829,2008,
Toronto,73446970,91196885,2008,
Houston,73302272,91017216,2008,
Detroit,71434174,88697657,2008,
Milwaukee,71360656,88606370,2008,
Washington,70743317,87839840,2008,
Miami,70297059,87285735,2008,
Denver,70121003,87067132,2008,
Orlando,69672979,86510835,2008,
Indiana,69668818,86505667,2008,
Sacramento,69204512,85929152,2008,
Oklahoma City,68341605,84857705,2008,
Philadelphia,68301007,84807296,2008,
Atlanta,68168841,84643192,2008,
Chicago,68126774,84590961,2008,
San Antonio,68020487,84458983,2008,
New Orleans,67530808,83850964,2008,
Golden State,67416431,83708945,2008,
Minnesota,66445144,82502926,2008,
Utah,65841407,81753285,2008,
Charlotte,62866926,78059963,2008,
LA Clippers,62764206,77932418,2008,
Brooklyn,62666523,77811127,2008,
Memphis,55958148,69481538,2008,
LA Lakers,91378064,115103658,2009,
Dallas,88916075,112002431,2009,
New York,85710076,107964019,2009,
Boston,83552174,105245835,2009,
Cleveland,83398534,105052302,2009,
Orlando,82200916,103543734,2009,
San Antonio,79338309,99937873,2009,
Denver,74935538,94391955,2009,
Miami,74208013,93475535,2009,
Washington,73440274,92508460,2009,
Utah,71905244,90574873,2009,
New Orleans,70163827,88381310,2009,
Chicago,69700359,87797503,2009,
Houston,69095315,87035364,2009,
Charlotte,68681758,86514432,2009,
Toronto,67822433,85431988,2009,
Sacramento,67515718,85045637,2009,
Milwaukee,66775602,84113357,2009,
Indiana,66733257,84060018,2009,
Atlanta,65883642,82989808,2009,
Golden State,65352372,82320594,2009,
Phoenix,65288544,82240196,2009,
Philadelphia,64883448,81729920,2009,
Minnesota,62253360,78416950,2009,
LA Clippers,61616409,77614617,2009,
Detroit,60185833,75812606,2009,
Brooklyn,59366715,74780808,2009,
Oklahoma City,58578614,73788083,2009,
Memphis,57287474,72161709,2009,
Portland,56946258,71731900,2009,
LA Lakers,91428140,113966272,2010,
Orlando,90770804,113146895,2010,
Dallas,85409890,106464449,2010,
Boston,82045867,102271154,2010,
Utah,75855296,94554534,2010,
Portland,74584058,92969919,2010,
